Location,Population
"Freetown town, MA","9,380"
"Carroll County, MS","9,378"
"San Juan County, UT","9,378"
"Price County, WI","9,376"
"Steger village, IL","9,376"
"Greene County, MS","9,375"
"Pleasant Grove city, AL","9,375"
"Blackstone town, MA","9,374"
"Walworth town, NY","9,373"
"Yellow Medicine County, MN","9,373"
"Ventnor City city, NJ","9,372"
"Flossmoor village, IL","9,371"
"Oil City city, PA","9,368"
"Booneville city, MS","9,367"
"Bloomingdale township, IL","9,366"
"Boaz city, AL","9,363"
"Howard County, IA","9,360"
"Brownsville city, TN","9,358"
"Ironton city, OH","9,356"
"Tolleson city, AZ","9,353"
"Laurens city, SC","9,352"
"Robertson County, TX","9,352"
"Dallas township, PA","9,350"
"Pawnee County, OK","9,350"
"Westampton township, NJ","9,350"
"Alma city, MI","9,349"
"North Codorus township, PA","9,349"
"Charles Mix County, SD","9,343"
"Conshohocken borough, PA","9,342"
"Sugar Grove village, IL","9,339"
"Millis town, MA","9,338"
"Perkasie borough, PA","9,338"
"Elsmere city, KY","9,337"
"The Village city, OK","9,337"
"Sheffield city, AL","9,335"
"Custer County, SD","9,330"
"Fayette County, AL","9,328"
"Parsons city, KS","9,328"
"Nimishillen township, OH","9,327"
"Oak Grove city, MN","9,327"
"Caldwell borough, NJ","9,326"
"Fultondale city, AL","9,325"
"Champion township, OH","9,322"
"Oak Island town, NC","9,322"
"Denham Springs city, LA","9,321"
"Maidencreek township, PA","9,321"
"Union County, SD","9,320"
"Cresskill borough, NJ","9,311"
"Roseau County, MN","9,311"
"Green County, KY","9,307"
"Altoona city, WI","9,302"
"Quakertown borough, PA","9,302"
"Charlotte city, MI","9,301"
"Cedar County, MO","9,295"
"Fredonia village, NY","9,295"
"Millersville borough, PA","9,290"
"Kennett township, PA","9,285"
"Rice County, KS","9,284"
"Lewis County, TN","9,282"
"Ogdensburg city, NY","9,282"
"Scott township, IN","9,281"
"Winneshiek County, IA","9,281"
"Jennings city, LA","9,280"
"Southwick town, MA","9,277"
"Seminole County, GA","9,274"
"Chicot County, AR","9,272"
"Cedar Creek township, IN","9,271"
"Waterford city, CA","9,271"
"Courtland township, MI","9,266"
"Macedon town, NY","9,264"
"Bath township, OH","9,263"
"Perry County, MS","9,263"
"Darby township, PA","9,261"
"Savoy village, IL","9,260"
"Westerville City township, OH","9,257"
"Whitefish city, MT","9,256"
"Hebron town, CT","9,254"
"West Carroll Parish, LA","9,254"
"Hamilton County, FL","9,253"
"Manchester town, NY","9,250"
"New Scotland town, NY","9,250"
"Absecon city, NJ","9,249"
"Berlin city, NH","9,248"
"Crisp County, GA","9,246"
"Guntersville city, AL","9,242"
"Ocean township, NJ","9,242"
"Manteno village, IL","9,241"
"Lynwood village, IL","9,239"
"Shelby city, OH","9,238"
"Charlotte County, VA","9,237"
"Chartiers township, PA","9,235"
"York charter township, MI","9,229"
"Clanton city, AL","9,228"
"Franklin County, KS","9,224"
"McFarland village, WI","9,224"
"Tuscumbia city, AL","9,222"
"Townsend town, MA","9,220"
"Weare town, NH","9,220"
"Gypsum town, CO","9,218"
"Plato township, IL","9,215"
"Richmond County, VA","9,215"
"Middlebury town, VT","9,214"
"Zavala County, TX","9,209"
"Gretna city, NE","9,207"
"Little Falls city, MN","9,206"
"Lunenburg County, VA","9,206"
"Havre city, MT","9,204"
"Seneca city, SC","9,202"
"Hampton city, GA","9,201"
"Edgewater Park township, NJ","9,196"
"Davis County, IA","9,193"
"Williamstown town, MA","9,189"
"East Nottingham township, PA","9,188"
"Lake Park town, FL","9,188"
"Bolivar County, MS","9,187"
"Newfane town, NY","9,187"
"Baxter city, MN","9,186"
"Blair township, MI","9,186"
"Lafayette County, WI","9,186"
"Plymouth city, MI","9,185"
"Grandview Heights city, OH","9,184"
"Riverdale city, UT","9,184"
"Bethalto village, IL","9,183"
"Chillicothe township, MO","9,183"
"Clinton County, KY","9,183"
"Willowbrook village, IL","9,179"
"Johnson County, GA","9,178"
"Duvall city, WA","9,176"
"Todd County, SD","9,172"
"Des Peres city, MO","9,171"
"Ravenna township, OH","9,169"
"Tallmadge charter township, MI","9,165"
"Crawford County, KS","9,164"
"Emmet County, IA","9,162"
"Robinson township, IL","9,160"
"Bernalillo town, NM","9,159"
"Bluefield city, WV","9,157"
"Tunica County, MS","9,157"
"Hampstead town, NH","9,156"
"Archer County, TX","9,155"
"Irwin County, GA","9,155"
"Bedford charter township, MI","9,154"
"Canfield township, OH","9,152"
"West Donegal township, PA","9,152"
"Clearwater County, ID","9,151"
"Cortez city, CO","9,151"
"Mascotte city, FL","9,150"
"Joshua city, TX","9,146"
"Lapeer city, MI","9,146"
"Brown County, KS","9,142"
"Roscoe township, IL","9,141"
"Wyandot County, OH","9,141"
"Rolette County, ND","9,140"
"Fort Russell township, IL","9,139"
"Pratt County, KS","9,137"
"Jackson Parish, LA","9,136"
"Cook County, GA","9,133"
"Woodbridge town, CT","9,130"
"Oak Grove city, MO","9,129"
"McLean County, KY","9,126"
"Warren city, PA","9,125"
"Mascoutah city, IL","9,118"
"Paradise town, CA","9,114"
"Fillmore County, MN","9,111"
"Luna County, NM","9,111"
"Poteau city, OK","9,111"
"Greenville city, MI","9,110"
"Park City city, KS","9,110"
"Alpena township, MI","9,108"
"Douglas County, MO","9,106"
"Marengo County, AL","9,106"
"Augusta city, KS","9,103"
"Chillicothe city, MO","9,103"
"Milliken town, CO","9,102"
"Fostoria city, OH","9,101"
"Saline city, MI","9,101"
"London Grove township, PA","9,100"
"Pipestone County, MN","9,100"
"Sunset Hills city, MO","9,099"
"Richmond Heights city, MO","9,096"
"Madison Parish, LA","9,093"
"Beebe city, AR","9,092"
"Jasper County, IL","9,092"
"Piedmont city, OK","9,092"
"Mansfield township, NJ","9,091"
"Minnetrista city, MN","9,091"
"WA Terrace city U, ah","9,091"
"WA Terrace city, UT","9,091"
"Ozark County, MO","9,090"
"Turner County, SD","9,087"
"Oronoko charter township, MI","9,081"
"Thompson's Station town, TN","9,081"
"Lyon County, KY","9,078"
"Clear Creek County, CO","9,076"
"Gilberts village, IL","9,075"
"West Caln township, PA","9,074"
"Richland township, MI","9,072"
"Blanco County, TX","9,071"
"Waseca city, MN","9,067"
"Haledon borough, NJ","9,063"
"East Haddam town, CT","9,061"
"Yarmouth town, ME","9,060"
"Rusk County, WI","9,059"
"Delavan city, WI","9,055"
"Highlands town, NY","9,055"
"Ross township, OH","9,050"
"Crawford town, NY","9,046"
"Eunice city, LA","9,044"
"Mendon town, NY","9,042"
"Phelps County, NE","9,042"
"Sheffield Lake city, OH","9,035"
"North Londonderry township, PA","9,033"
"Smithfield town, VA","9,032"
"Utica township, IN","9,032"
"Mound city, MN","9,031"
"Springfield town, VT","9,028"
"Wasco County, OR","9,028"
"Perkiomen township, PA","9,026"
"Chemung township, IL","9,025"
"Calumet County, WI","9,024"
"Fort Valley city, GA","9,023"
"Turner County, GA","9,023"
"Chesterfield township, NJ","9,022"
"Centerville city, GA","9,021"
"Livingston city, MT","9,021"
"Union County, IL","9,020"
"Clayton borough, NJ","9,016"
"Brunswick city, MD","9,015"
"Collier township, PA","9,014"
"Hancock County, KY","9,013"
"Jefferson City city, TN","9,013"
"Ayer town, MA","9,010"
"Princeton township, IL","9,010"
"Marlborough town, NY","9,007"
"Indian Harbour Beach city, FL","9,006"
"Aliquippa city, PA","9,003"
"Othello city, WA","9,001"
"Caldwell County, MO","9,000"
"Dallas County, TX","9,000"
"Lancaster town, MA","8,993"
"Orange Park town, FL","8,993"
"Economy borough, PA","8,990"
"O'Hara township, PA","8,987"
"Perry County, TN","8,987"
"Madison County, TX","8,986"
"Bollinger County, MO","8,983"
"Crittenden County, KY","8,982"
"Clinton township, MO","8,980"
"Parkville city, MO","8,980"
"Blooming Grove town, NY","8,978"
"Cottage Grove village, WI","8,974"
"Liberty city, TX","8,974"
"Oxford city, NC","8,972"
"Pittsgrove township, NJ","8,972"
"Rice Lake city, WI","8,971"
"Hondo city, TX","8,969"
"Gonzales County, TX","8,968"
"Mitchell County, TX","8,968"
"Richfield township, MI","8,967"
"Purcellville town, VA","8,965"
"Sublette County, WY","8,965"
"Conewago township, PA","8,964"
"Riverside village, IL","8,964"
"Fruitland Park city, FL","8,962"
"Hillview city, KY","8,962"
"Paris township, IL","8,962"
"Olivette city, MO","8,960"
"Travelers Rest city, SC","8,960"
"Schuylkill township, PA","8,959"
"Columbia County, AR","8,958"
"Collingdale borough, PA","8,956"
"Upper Leacock township, PA","8,953"
"Cuming County, NE","8,952"
"Seaford city, DE","8,952"
"St. Francis city, WI","8,951"
"Smoky Hill township, KS","8,945"
"Logan County, IL","8,944"
"Ouachita County, AR","8,943"
"Pitman borough, NJ","8,943"
"Presque Isle County, MI","8,943"
"Stanwood city, WA","8,943"
"Antwerp township, MI","8,938"
"Ecorse city, MI","8,938"
"Ladue city, MO","8,937"
"Northfield township, MI","8,936"
"Tiburon town, CA","8,933"
"Middlebury township, IN","8,932"
"Newark village, NY","8,932"
"Riverdale village, IL","8,927"
"Bastrop city, LA","8,922"
"South Londonderry township, PA","8,921"
"Arab city, AL","8,918"
"Pike County, IN","8,918"
"Seneca Falls town, NY","8,918"
"East Grand Forks city, MN","8,915"
"Plain township, IN","8,912"
"Orting city, WA","8,911"
"Anthony city, NM","8,910"
"Randolph County, IL","8,907"
"Wilcox County, GA","8,904"
"Craig city, CO","8,903"
"Camden city, SC","8,899"
"Middlesborough city, KY","8,899"
"Boonton town, NJ","8,894"
"Fulton County, IL","8,893"
"Humboldt County, NV","8,891"
"Monroe County, MO","8,890"
"Upper Makefield township, PA","8,888"
"Worth township, IL","8,886"
"Grants city, NM","8,880"
"Plain City city, UT","8,880"
"Skiatook city, OK","8,879"
"Hillsboro city, TX","8,878"
"Freeport town, ME","8,877"
"Signal Mountain town, TN","8,877"
"Charles Town city, WV","8,869"
"Knox County, IL","8,869"
"Hampshire village, IL","8,864"
"Pleasant Hill city, MO","8,864"
"Graham city, TX","8,859"
"Stookey township, IL","8,859"
"Oconomowoc town, WI","8,855"
"North Haledon borough, NJ","8,854"
"Plymouth city, WI","8,854"
"Benton County, IN","8,853"
"Metcalfe County, KY","8,853"
"Black township, IN","8,849"
"Pike County, MO","8,849"
"Benton Harbor city, MI","8,848"
"Columbia township, OH","8,847"
"Aubrey city, TX","8,843"
"Southport town, NY","8,841"
"Lucas city, TX","8,840"
"Sunnyvale town, TX","8,839"
"Jenkins County, GA","8,836"
"Milton city, WA","8,833"
"Cumberland town, ME","8,832"
"Handy township, MI","8,830"
"Redding town, CT","8,830"
"Box Elder city, SD","8,828"
"Franklin city, NH","8,823"
"Ellsworth city, ME","8,822"
"Georgetown city, SC","8,821"
"Harahan city, LA","8,819"
"Montgomery County, KS","8,818"
"Bath city, ME","8,817"
"Livingston County, KY","8,815"
"Fitzgerald city, GA","8,813"
"German township, OH","8,809"
"Palo Alto County, IA","8,809"
"Bourbon County, KY","8,807"
"Josephine city, TX","8,807"
"Haddam town, CT","8,806"
"Carbondale city, PA","8,805"
"Gallatin County, KY","8,805"
"Pulaski town, VA","8,805"
"Commerce city, GA","8,803"
"Emmett city, ID","8,803"
"Johnson County, WY","8,803"
"Lancaster County, VA","8,803"
"Rockingham city, NC","8,802"
"Audubon borough, NJ","8,801"
"Grenada County, MS","8,793"
"WA County Kentu, ky","8,792"
"Crenshaw County, AL","8,790"
"Dundee township, MI","8,785"
"Cloverdale city, CA","8,784"
"Upper Hanover township, PA","8,782"
"WY city O, io","8,781"
"WY city, OH","8,781"
"Thief River Falls city, MN","8,779"
"German township, IN","8,774"
"Berlin township, OH","8,772"
"Hoquiam city, WA","8,771"
"Marshall County, MN","8,771"
"Brighton township, PA","8,770"
"Chester town, NY","8,767"
"Fort Mitchell city, KY","8,766"
"Hickory County, MO","8,766"
"Highland Park town, TX","8,762"
"Lake Villa township, IL","8,761"
"Conover city, NC","8,760"
"Lucas County, IA","8,758"
"Beaver Falls city, PA","8,757"
"Harwood Heights village, IL","8,755"
"Wharton city, TX","8,755"
"Dunn city, NC","8,754"
"Payette city, ID","8,754"
"Cincinnati township, IL","8,749"
"Hollis town, NH","8,746"
"Hudson town, WI","8,746"
"East Donegal township, PA","8,743"
"Aransas Pass city, TX","8,742"
"Floresville city, TX","8,738"
"Lake Villa village, IL","8,737"
"Guadalupe city, CA","8,735"
"Dawson County, MT","8,731"
"Todd County, KY","8,731"
"Closter borough, NJ","8,730"
"St. Pete Beach city, FL","8,730"
"Andalusia city, AL","8,728"
"Presque Isle city, ME","8,728"
"Wayne County, IL","8,728"
"Napoleon city, OH","8,724"
"Rootstown township, OH","8,724"
"Cloud County, KS","8,723"
"Glencoe village, IL","8,720"
"East Pikeland township, PA","8,718"
"Ephrata city, WA","8,718"
"Bushkill township, PA","8,714"
"Maysville city, KY","8,711"
"Madison County, IA","8,709"
"Brooklyn town, CT","8,708"
"Sallisaw city, OK","8,708"
"Park County, MT","8,705"
"Park Hills city, MO","8,705"
"Pennfield charter township, MI","8,705"
"Clarendon Hills village, IL","8,703"
"East Manchester township, PA","8,703"
"Cowley County, KS","8,702"
"Indianola city, MS","8,702"
"Oregon County, MO","8,699"
"Benton County, IA","8,698"
"Terrell County, GA","8,698"
"Falls township, OH","8,696"
"Upper Saddle River borough, NJ","8,696"
"Alger County, MI","8,695"
"Carneys Point township, NJ","8,693"
"Long Hill township, NJ","8,692"
"Newstead town, NY","8,692"
"Lake Geneva city, WI","8,691"
"Scioto township, OH","8,688"
"Solebury township, PA","8,685"
"Hancock County, GA","8,683"
"Brownfield city, TX","8,682"
"Olmsted Falls city, OH","8,676"
"Sioux Center city, IA","8,675"
"Wilkinson County, GA","8,667"
"Enoch city, UT","8,664"
"Skowhegan town, ME","8,664"
"Greene County, IA","8,662"
"Prairie View city, TX","8,662"
"Toppenish city, WA","8,658"
"Sheboygan Falls city, WI","8,656"
"Old Forge borough, PA","8,654"
"Selah city, WA","8,653"
"Tuskegee city, AL","8,653"
"Grand County, CO","8,652"
"Big Horn County, MT","8,650"
"Marcy town, NY","8,649"
"Gettysburg borough, PA","8,647"
"New Paltz village, NY","8,646"
"Hamilton County, TX","8,644"
"Sutherlin city, OR","8,643"
"Cheviot city, OH","8,640"
"Lafayette County, FL","8,640"
"Monmouth city, IL","8,639"
"Brazil township, IN","8,637"
"Jones County, IA","8,634"
"Turkey Creek township, IN","8,634"
"Lake Alfred city, FL","8,632"
"Whitestown town, NY","8,632"
"Goshen town, NY","8,631"
"Santa Clara city, UT","8,631"
"Clearwater County, MN","8,630"
"Winn Parish, LA","8,630"
"Hamlin town, NY","8,619"
"Monona city, WI","8,616"
"Nibley city, UT","8,615"
"Rock Falls city, IL","8,614"
"Highland Heights city, OH","8,612"
"Sharp County, AR","8,609"
"Tecumseh city, MI","8,606"
"Orland city, CA","8,605"
"West Long Branch borough, NJ","8,604"
"Beavercreek township, OH","8,603"
"Audrain County, MO","8,602"
"Mathews County, VA","8,602"
"Bryan city, OH","8,601"
"Lochbuie town, CO","8,599"
"Orange Beach city, AL","8,599"
"Sheboygan town, WI","8,598"
"Honey Brook township, PA","8,597"
"St. John township, IN","8,597"
"Oscoda County, MI","8,596"
"Southampton township, PA","8,593"
"Buxton town, ME","8,591"
"Trimble County, KY","8,591"
"Prairie Grove city, AR","8,589"
"Oberlin city, OH","8,587"
"Raritan borough, NJ","8,584"
"Tuttle city, OK","8,584"
"Gray town, ME","8,583"
"Howell township, MI","8,583"
"Woods County, OK","8,582"
"Boise County, ID","8,581"
"Fulton County, AR","8,581"
"Powell County, KY","8,581"
"Claiborne Parish, LA","8,579"
"Winslow city, AZ","8,577"
"Covington city, TN","8,575"
"Blaine County, OK","8,573"
"Waukesha village, WI","8,573"
"Black Mountain town, NC","8,572"
"Des Moines County, IA","8,571"
"Ellicott town, NY","8,570"
"Jeannette city, PA","8,566"
"Lenox town, NY","8,566"
"Montgomery County, GA","8,566"
"Port Jervis city, NY","8,566"
"Big Rapids city, MI","8,565"
"Benton township, IL","8,564"
"Los Fresnos city, TX","8,563"
"Kemper County, MS","8,562"
"Coosa County, AL","8,560"
"Charlestown city, IN","8,559"
"Georgetown town, MA","8,558"
"Winfield town, IN","8,557"
"Albertville city, MN","8,555"
"Gering city, NE","8,554"
"Litchfield town, NH","8,554"
"Newton township, OH","8,554"
"Perryville city, MO","8,554"
"Farmingdale village, NY","8,553"
"North Bend city, WA","8,553"
"Camp County, TX","8,551"
"Chattahoochee County, GA","8,548"
"Cusseta-Chattahoochee County unified government, GA","8,548"
"Richland Hills city, TX","8,546"
"Coffeyville city, KS","8,545"
"Houghton city, MI","8,543"
"Daviess County, MO","8,541"
"Morgan County, UT","8,540"
"Houston County, TN","8,538"
"Chanute city, KS","8,536"
"Tipton County, IN","8,536"
"Spring Arbor township, MI","8,534"
"White Pine County, NV","8,534"
"Center Line city, MI","8,533"
"Cohasset town, MA","8,532"
"Gasconade County, MO","8,531"
"Lock Haven city, PA","8,531"
"Corrales village, NM","8,530"
"Chatham township, IL","8,528"
"Kenilworth borough, NJ","8,527"
"Northfield city, NJ","8,527"
"Edgewood city, KY","8,526"
"Kane County, UT","8,525"
"St. Francis city, MN","8,523"
"Stayton city, OR","8,521"
"Oswego town, NY","8,519"
"Mukwonago village, WI","8,512"
"Platte County, WY","8,512"
"Bee Cave city, TX","8,510"
"Montgomery County, AR","8,510"
"Mount Pleasant city, IA","8,509"
"Westminster town, MA","8,509"
"Maries County, MO","8,506"
"Bay Minette city, AL","8,505"
