Location,Population
"Kent County, RI","88,896"
"Hancock County, IN","88,810"
"Danbury city, CT","88,692"
"Danbury town, CT","88,692"
"Ogden city, UT","88,656"
"Dodge County, WI","88,635"
"Mission city, TX","88,574"
"Waukegan city, IL","88,570"
"Burke County, NC","88,545"
"Cheektowaga town, NY","88,484"
"Catawba County, NC","88,453"
"Bloomington city, MN","88,344"
"Josephine County, OR","88,276"
"Addison township, IL","88,098"
"Angelina County, TX","88,094"
"Marion County, OR","88,092"
"Folsom city, CA","88,091"
"Du Page township, IL","88,086"
"Duluth city, MN","87,986"
"Yakima County, WA","87,893"
"Clarkstown town, NY","87,715"
"Rockingham County, VA","87,674"
"Melbourne city, FL","87,561"
"Sarpy County, NE","87,522"
"Leander city, TX","87,511"
"Yuba County, CA","87,469"
"Henderson County, TX","87,467"
"Muskegon County, MI","87,427"
"Mountain View city, CA","87,316"
"Santa Barbara city, CA","87,291"
"Bastrop County, TX","87,224"
"Lake Forest city, CA","87,159"
"Lewis County, WA","87,049"
"Citrus Heights city, CA","86,909"
"Sioux City city, IA","86,875"
"Kennewick city, WA","86,728"
"Muskingum County, OH","86,582"
"San Leandro city, CA","86,571"
"Glynn County, GA","86,540"
"Colonie town, NY","86,531"
"Island County, WA","86,478"
"Coryell County, TX","86,370"
"Medford city, OR","86,301"
"Jefferson County, WI","86,245"
"Warner Robins city, GA","86,199"
